country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-15,-2,-1,40,4,-2,-2
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-16,-7,-1,18,2,-3,-1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-17,-3,-3,-1,-11,-22,4
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-18,-3,-5,1,-13,-22,3
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-19,-6,-6,-4,-12,-23,3
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-20,-7,-8,-7,-12,-23,3
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-21,-8,-2,11,-5,-23,4
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-22,-8,-1,32,12,-4,-1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-23,-8,1,-13,5,-5,0
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-24,-2,4,12,-3,-4,2
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-25,-1,7,14,-1,0,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-26,-4,6,-3,0,0,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-27,-14,-10,4,0,-1,3
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-28,1,14,17,4,-1,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-02-29,-1,8,5,12,1,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-01,-3,17,-4,12,-2,0
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-02,-3,7,0,1,0,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-03,-2,8,6,0,1,0
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-04,-4,6,-2,0,0,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-05,-5,0,-7,-2,0,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-06,-1,7,3,1,1,1
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-07,2,7,44,8,1,0
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2020-03-08,0,10,7,0,-3,1
